tic,period,depth_ppm,duration_hr,primary_depth_ppm,secondary_depth_ppm,secondary_ratio,odd_even_diff,v_shape,sde,snr,status
TIC 307210830,3.6914401284408895,1716.694747953662,1.0908884174321816,1636.5486352335479,-67.34915993189539,-0.04115316739259885,0.008692995225620701,0.25181561973005595,20.920849560181438,27.970755586421014,ok
TIC 231663901,1.4308797055329758,17734.144600138334,1.3108185695652823,16969.905246957183,146.34035907545862,0.008623522462018366,0.04578443650515854,0.32636174019748243,20.987297730367978,106.38671939810054,ok
TIC 100100827,0.9415150501718206,11371.7442552288,1.8421602042523204,10431.515475646358,414.4726184870384,0.0397327329336447,0.002478106906672162,0.1269628087844138,42.6374882339813,682.7613081972835,ok
